# Renewables.ninja Weather (Point API) - 39.906, 116.391 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Shanghai, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "39.9057136", "lon": "116.3912972", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,swgdn,swtdn,cldtot
2019-01-01 00:00,2019-01-01 08:00,76.669,198.047,0
2019-01-01 01:00,2019-01-01 09:00,205.246,392.082,0
2019-01-01 02:00,2019-01-01 10:00,323.336,535.257,0
2019-01-01 03:00,2019-01-01 11:00,396.492,617.786,0
2019-01-01 04:00,2019-01-01 12:00,427.866,634.155,0
2019-01-01 05:00,2019-01-01 13:00,402.681,583.189,0
2019-01-01 06:00,2019-01-01 14:00,322.471,468.334,0
2019-01-01 07:00,2019-01-01 15:00,187.252,297.386,0
2019-01-01 08:00,2019-01-01 16:00,41.514,84.973,0
2019-01-01 09:00,2019-01-01 17:00,0,0,0
2019-01-01 10:00,2019-01-01 18:00,0,0,0
2019-01-01 11:00,2019-01-01 19:00,0,0,0
2019-01-01 12:00,2019-01-01 20:00,0,0,0
2019-01-01 13:00,2019-01-01 21:00,0,0,0
2019-01-01 14:00,2019-01-01 22:00,0,0,0
2019-01-01 15:00,2019-01-01 23:00,0,0,0
2019-01-01 16:00,2019-01-02 00:00,0,0,0
2019-01-01 17:00,2019-01-02 01:00,0,0,0
2019-01-01 18:00,2019-01-02 02:00,0,0,0
2019-01-01 19:00,2019-01-02 03:00,0,0,0
2019-01-01 20:00,2019-01-02 04:00,0,0,0
2019-01-01 21:00,2019-01-02 05:00,0,0,0
2019-01-01 22:00,2019-01-02 06:00,0,0,0
2019-01-01 23:00,2019-01-02 07:00,5.640,16.682,0
2019-01-02 00:00,2019-01-02 08:00,107.212,199.535,0
2019-01-02 01:00,2019-01-02 09:00,252.762,393.684,0
2019-01-02 02:00,2019-01-02 10:00,369.579,536.960,0
2019-01-02 03:00,2019-01-02 11:00,444.400,619.536,0.028
2019-01-02 04:00,2019-01-02 12:00,451.885,635.905,0.114
2019-01-02 05:00,2019-01-02 13:00,399.896,584.939,0.179
2019-01-02 06:00,2019-01-02 14:00,280.582,469.977,0.208
2019-01-02 07:00,2019-01-02 15:00,148.518,298.992,0.233
2019-01-02 08:00,2019-01-02 16:00,29.045,86.215,0.422
2019-01-02 09:00,2019-01-02 17:00,0,0,0.654
2019-01-02 10:00,2019-01-02 18:00,0,0,0.748
2019-01-02 11:00,2019-01-02 19:00,0,0,0.613
2019-01-02 12:00,2019-01-02 20:00,0,0,0.593
2019-01-02 13:00,2019-01-02 21:00,0,0,0.692
2019-01-02 14:00,2019-01-02 22:00,0,0,0.751
2019-01-02 15:00,2019-01-02 23:00,0,0,0.679
2019-01-02 16:00,2019-01-03 00:00,0,0,0.657
2019-01-02 17:00,2019-01-03 01:00,0,0,0.691
2019-01-02 18:00,2019-01-03 02:00,0,0,0.766
2019-01-02 19:00,2019-01-03 03:00,0,0,0.797
2019-01-02 20:00,2019-01-03 04:00,0,0,0.532
2019-01-02 21:00,2019-01-03 05:00,0,0,0.081
2019-01-02 22:00,2019-01-03 06:00,0,0,0
2019-01-02 23:00,2019-01-03 07:00,3.491,17.249,0
2019-01-03 00:00,2019-01-03 08:00,65.364,201.112,0
2019-01-03 01:00,2019-01-03 09:00,171.107,395.434,0
2019-01-03 02:00,2019-01-03 10:00,267.291,538.757,0
2019-01-03 03:00,2019-01-03 11:00,302.929,621.479,0
2019-01-03 04:00,2019-01-03 12:00,314.880,637.858,0
2019-01-03 05:00,2019-01-03 13:00,280.566,586.689,0.059
2019-01-03 06:00,2019-01-03 14:00,204.145,471.805,0.219
2019-01-03 07:00,2019-01-03 15:00,105.909,300.714,0.452
2019-01-03 08:00,2019-01-03 16:00,22.558,87.550,0.669
2019-01-03 09:00,2019-01-03 17:00,0,0,0.874
2019-01-03 10:00,2019-01-03 18:00,0,0,0.956
2019-01-03 11:00,2019-01-03 19:00,0,0,0.965
2019-01-03 12:00,2019-01-03 20:00,0,0,0.984
2019-01-03 13:00,2019-01-03 21:00,0,0,0.989
2019-01-03 14:00,2019-01-03 22:00,0,0,0.991
2019-01-03 15:00,2019-01-03 23:00,0,0,0.990
2019-01-03 16:00,2019-01-04 00:00,0,0,0.990
2019-01-03 17:00,2019-01-04 01:00,0,0,0.990
2019-01-03 18:00,2019-01-04 02:00,0,0,0.991
2019-01-03 19:00,2019-01-04 03:00,0,0,0.982
2019-01-03 20:00,2019-01-04 04:00,0,0,0.971
2019-01-03 21:00,2019-01-04 05:00,0,0,0.949
2019-01-03 22:00,2019-01-04 06:00,0,0,0.900
2019-01-03 23:00,2019-01-04 07:00,5.164,17.868,0.799
2019-01-04 00:00,2019-01-04 08:00,97.923,202.859,0.437
2019-01-04 01:00,2019-01-04 09:00,275.372,397.290,0.027
2019-01-04 02:00,2019-01-04 10:00,404.092,540.757,0
2019-01-04 03:00,2019-01-04 11:00,470.964,623.479,0
2019-01-04 04:00,2019-01-04 12:00,486.941,639.905,0
2019-01-04 05:00,2019-01-04 13:00,442.619,588.882,0
2019-01-04 06:00,2019-01-04 14:00,340.514,473.727,0
2019-01-04 07:00,2019-01-04 15:00,196.872,302.511,0
2019-01-04 08:00,2019-01-04 16:00,44.884,89.036,0
2019-01-04 09:00,2019-01-04 17:00,0,0,0
2019-01-04 10:00,2019-01-04 18:00,0,0,0.015
2019-01-04 11:00,2019-01-04 19:00,0,0,0.136
2019-01-04 12:00,2019-01-04 20:00,0,0,0.200
2019-01-04 13:00,2019-01-04 21:00,0,0,0.201
2019-01-04 14:00,2019-01-04 22:00,0,0,0.142
2019-01-04 15:00,2019-01-04 23:00,0,0,0.052
2019-01-04 16:00,2019-01-05 00:00,0,0,0.008
2019-01-04 17:00,2019-01-05 01:00,0,0,0
2019-01-04 18:00,2019-01-05 02:00,0,0,0
2019-01-04 19:00,2019-01-05 03:00,0,0,0.003
2019-01-04 20:00,2019-01-05 04:00,0,0,0.448
2019-01-04 21:00,2019-01-05 05:00,0,0,0.698
2019-01-04 22:00,2019-01-05 06:00,0,0,0.741
2019-01-04 23:00,2019-01-05 07:00,6.142,18.547,0.936
2019-01-05 00:00,2019-01-05 08:00,84.221,204.734,0.868
2019-01-05 01:00,2019-01-05 09:00,221.192,399.332,0.814
2019-01-05 02:00,2019-01-05 10:00,322.215,542.960,0.874
2019-01-05 03:00,2019-01-05 11:00,415.948,625.729,0.849
2019-01-05 04:00,2019-01-05 12:00,436.335,642.108,0.821
2019-01-05 05:00,2019-01-05 13:00,369.377,590.939,0.934
2019-01-05 06:00,2019-01-05 14:00,251.831,475.852,0.960
2019-01-05 07:00,2019-01-05 15:00,117.803,304.511,0.985
2019-01-05 08:00,2019-01-05 16:00,23.667,90.652,0.991
2019-01-05 09:00,2019-01-05 17:00,0,0,0.992
2019-01-05 10:00,2019-01-05 18:00,0,0,0.993
2019-01-05 11:00,2019-01-05 19:00,0,0,0.994
2019-01-05 12:00,2019-01-05 20:00,0,0,0.966
2019-01-05 13:00,2019-01-05 21:00,0,0,0.898
2019-01-05 14:00,2019-01-05 22:00,0,0,0.872
2019-01-05 15:00,2019-01-05 23:00,0,0,0.794
2019-01-05 16:00,2019-01-06 00:00,0,0,0.688
2019-01-05 17:00,2019-01-06 01:00,0,0,0.496
2019-01-05 18:00,2019-01-06 02:00,0,0,0.374
2019-01-05 19:00,2019-01-06 03:00,0,0,0.160
2019-01-05 20:00,2019-01-06 04:00,0,0,0.046
2019-01-05 21:00,2019-01-06 05:00,0,0,0.004
2019-01-05 22:00,2019-01-06 06:00,0,0,0
2019-01-05 23:00,2019-01-06 07:00,4.973,19.294,0
2019-01-06 00:00,2019-01-06 08:00,86.919,206.774,0
2019-01-06 01:00,2019-01-06 09:00,214.925,401.457,0
2019-01-06 02:00,2019-01-06 10:00,324.665,545.210,0
2019-01-06 03:00,2019-01-06 11:00,368.520,628.036,0
2019-01-06 04:00,2019-01-06 12:00,382.184,644.562,0.001
2019-01-06 05:00,2019-01-06 13:00,342.667,593.428,0.008
2019-01-06 06:00,2019-01-06 14:00,242.873,478.102,0
2019-01-06 07:00,2019-01-06 15:00,129.777,306.636,0
2019-01-06 08:00,2019-01-06 16:00,27.091,92.392,0
2019-01-06 09:00,2019-01-06 17:00,0,0,0
2019-01-06 10:00,2019-01-06 18:00,0,0,0
2019-01-06 11:00,2019-01-06 19:00,0,0,0
2019-01-06 12:00,2019-01-06 20:00,0,0,0
2019-01-06 13:00,2019-01-06 21:00,0,0,0.014
2019-01-06 14:00,2019-01-06 22:00,0,0,0.055
2019-01-06 15:00,2019-01-06 23:00,0,0,0.052
2019-01-06 16:00,2019-01-07 00:00,0,0,0.024
2019-01-06 17:00,2019-01-07 01:00,0,0,0.075
2019-01-06 18:00,2019-01-07 02:00,0,0,0.233
2019-01-06 19:00,2019-01-07 03:00,0,0,0.294
2019-01-06 20:00,2019-01-07 04:00,0,0,0.307
2019-01-06 21:00,2019-01-07 05:00,0,0,0.346
2019-01-06 22:00,2019-01-07 06:00,0,0,0.416
2019-01-06 23:00,2019-01-07 07:00,6.585,20.111,0.496
2019-01-07 00:00,2019-01-07 08:00,100.830,208.913,0.574
2019-01-07 01:00,2019-01-07 09:00,226.801,403.808,0.841
2019-01-07 02:00,2019-01-07 10:00,284.264,547.710,0.916
2019-01-07 03:00,2019-01-07 11:00,348.239,630.536,0.877
2019-01-07 04:00,2019-01-07 12:00,349.221,647.108,0.782
2019-01-07 05:00,2019-01-07 13:00,349.922,595.928,0.541
2019-01-07 06:00,2019-01-07 14:00,265.438,480.555,0.584
2019-01-07 07:00,2019-01-07 15:00,141.282,308.964,0.687
2019-01-07 08:00,2019-01-07 16:00,30.856,94.277,0.729
2019-01-07 09:00,2019-01-07 17:00,0,0,0.429
2019-01-07 10:00,2019-01-07 18:00,0,0,0.098
2019-01-07 11:00,2019-01-07 19:00,0,0,0.009
2019-01-07 12:00,2019-01-07 20:00,0,0,0
2019-01-07 13:00,2019-01-07 21:00,0,0,0
2019-01-07 14:00,2019-01-07 22:00,0,0,0
2019-01-07 15:00,2019-01-07 23:00,0,0,0
2019-01-07 16:00,2019-01-08 00:00,0,0,0
2019-01-07 17:00,2019-01-08 01:00,0,0,0
2019-01-07 18:00,2019-01-08 02:00,0,0,0
2019-01-07 19:00,2019-01-08 03:00,0,0,0
2019-01-07 20:00,2019-01-08 04:00,0,0,0
2019-01-07 21:00,2019-01-08 05:00,0,0,0
2019-01-07 22:00,2019-01-08 06:00,0,0,0
2019-01-07 23:00,2019-01-08 07:00,8.387,20.990,0
2019-01-08 00:00,2019-01-08 08:00,128.183,211.202,0
2019-01-08 01:00,2019-01-08 09:00,287.784,406.207,0
2019-01-08 02:00,2019-01-08 10:00,415.166,550.210,0
2019-01-08 03:00,2019-01-08 11:00,492.871,633.229,0
