# Renewables.ninja Weather (Point API) - 39.906, 116.391 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Shanghai, rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": true, "header": true, "lat": "39.9057136", "lon": "116.3912972", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": true, "var_swgdn": true, "var_swtdn": true, "var_cldtot": true}}
time,local_time,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2019-01-01 08:00,1.346,76.669,198.047,0
2019-01-01 01:00,2019-01-01 09:00,1.343,205.246,392.082,0
2019-01-01 02:00,2019-01-01 10:00,1.332,323.336,535.257,0
2019-01-01 03:00,2019-01-01 11:00,1.320,396.492,617.786,0
2019-01-01 04:00,2019-01-01 12:00,1.313,427.866,634.155,0
2019-01-01 05:00,2019-01-01 13:00,1.307,402.681,583.189,0
2019-01-01 06:00,2019-01-01 14:00,1.302,322.471,468.334,0
2019-01-01 07:00,2019-01-01 15:00,1.301,187.252,297.386,0
2019-01-01 08:00,2019-01-01 16:00,1.301,41.514,84.973,0
2019-01-01 09:00,2019-01-01 17:00,1.303,0,0,0
2019-01-01 10:00,2019-01-01 18:00,1.306,0,0,0
2019-01-01 11:00,2019-01-01 19:00,1.310,0,0,0
2019-01-01 12:00,2019-01-01 20:00,1.315,0,0,0
2019-01-01 13:00,2019-01-01 21:00,1.321,0,0,0
2019-01-01 14:00,2019-01-01 22:00,1.327,0,0,0
2019-01-01 15:00,2019-01-01 23:00,1.332,0,0,0
2019-01-01 16:00,2019-01-02 00:00,1.337,0,0,0
2019-01-01 17:00,2019-01-02 01:00,1.341,0,0,0
2019-01-01 18:00,2019-01-02 02:00,1.346,0,0,0
2019-01-01 19:00,2019-01-02 03:00,1.349,0,0,0
2019-01-01 20:00,2019-01-02 04:00,1.352,0,0,0
2019-01-01 21:00,2019-01-02 05:00,1.353,0,0,0
2019-01-01 22:00,2019-01-02 06:00,1.352,0,0,0
2019-01-01 23:00,2019-01-02 07:00,1.352,5.640,16.682,0
2019-01-02 00:00,2019-01-02 08:00,1.351,107.212,199.535,0
2019-01-02 01:00,2019-01-02 09:00,1.343,252.762,393.684,0
2019-01-02 02:00,2019-01-02 10:00,1.330,369.579,536.960,0
2019-01-02 03:00,2019-01-02 11:00,1.318,444.400,619.536,0.028
2019-01-02 04:00,2019-01-02 12:00,1.309,451.885,635.905,0.114
2019-01-02 05:00,2019-01-02 13:00,1.302,399.896,584.939,0.179
2019-01-02 06:00,2019-01-02 14:00,1.300,280.582,469.977,0.208
2019-01-02 07:00,2019-01-02 15:00,1.301,148.518,298.992,0.233
2019-01-02 08:00,2019-01-02 16:00,1.305,29.045,86.215,0.422
2019-01-02 09:00,2019-01-02 17:00,1.309,0,0,0.654
2019-01-02 10:00,2019-01-02 18:00,1.311,0,0,0.748
2019-01-02 11:00,2019-01-02 19:00,1.312,0,0,0.613
2019-01-02 12:00,2019-01-02 20:00,1.312,0,0,0.593
2019-01-02 13:00,2019-01-02 21:00,1.313,0,0,0.692
2019-01-02 14:00,2019-01-02 22:00,1.312,0,0,0.751
2019-01-02 15:00,2019-01-02 23:00,1.313,0,0,0.679
2019-01-02 16:00,2019-01-03 00:00,1.314,0,0,0.657
2019-01-02 17:00,2019-01-03 01:00,1.316,0,0,0.691
